Dagnr,DIENSTREGELPUNT_VAN,DIENSTREGELPUNT_NAAR,KLANTHINDERINMINUTEN,KLANTHINDERNAAM,BEWEGINGNUMMER,MONITORINGSTEGELOMSCHRIJVING,TOELICHTING,AANTAL_OPGEHEVEN_NS_TREINEN
19,Btl,Ehv,90,3. Hinder,4451,Defect materieel,defecte deuren,4
28,Hfd,Shl,42,3. Hinder,3338,Defect materieel,HFD: def mat tr 3338 / Spoorweb-id: 997907Deurproblemen,3
30,Asd,Sgbr,126,3. Hinder,-2,Onregelmatigheden in de uitvoering van BTD,ASD: uitloop wzh / Spoorweb-id: 998532,0
15,Vlgr,Utza,113,3. Hinder,420,Vertraging veroorzaakt door andere IM / Terminal,hind buurland Emmerich / Spoorweb-id: 992209,1
27,Tg,Rv,210,3. Hinder,32265,Aanrijding,"TG-RV: aanr pers tr 32265 / Spoorweb-id: 997678Thv 59.9 stapt een pers in het spoor en gaat liggen, mcn hoorde iets onder de trein. mcn gaat op onderzoek uit en treft het slachtoffer nog levend aan.",0
25,Hn,Hnk,120,3. Hinder,84337,Defect materieel,HN: def mat tr 84337 / Spoorweb-id: 996239,8
7,Tb,Tbu,153,3. Hinder,-2,Spoor of wissels,TB: sectie sto Sec-109bt / Spoorweb-id: 989078,4
28,Dvd,Asa,75,3. Hinder,2962,(problemen met) Reizigers,politieassistentie,2
6,Akm,Bobr,330,3. Hinder,-2,Gebouwen/kunstwerken,AKM: Aanvaring brug / Spoorweb-id: 988504,14
8,Gvc,Bkh,1161,2. Veel hinder,-2,Spoor of wissels,GVC: sectie sto Sec-61T en 63BT / Spoorweb-id: 989366,37
4,Wdn,Rsn,40,3. Hinder,-2,Energievoorziening (bovenleiding),"Kortstondige stroomstoring in Wierden, daardoor TOBS op WR en RW spoor. Oorzaak: OBI had per ongeluk een omvormer bediend waardoor stroomvoorziening en sectiebezettingen optraden. P-sein 692 is afgevallen voor 7026 daardoor STS-passage. Er was geen sprake van gevaarzetting en machinist gaf aan dat hij verder kon dus hij is veilig gezet richting Deventer. Daarna zijn de MKS en wachtdienst geinformeerd.",0
8,Ldm,Bsd,431,3. Hinder,-2,Beveiligingsinstallaties,sectie storing op ovw 58.0 plus rijrichting richting leerdam en ovw 58.0 in storing,0
10,Ldm,Gdm,60,3. Hinder,7261,Beveiligingsinstallaties,LDM: sectie sto Ovw-58.0 / Spoorweb-id: 990134,0
3,Almmo,Almm,94,3. Hinder,-2,STS passage / Bijna Aanrijding,ALMMO-ALM: ass hulpdst / Spoorweb-id: 987024,1
21,Hgl,Odzg,240,3. Hinder,20375,Afwezigheid personeel,onderbezetting personeel,0
28,Zl,Zl,60,3. Hinder,1867,(problemen met) Reizigers,medisch ongeval in trein,2
23,Dn,Hrt,51,3. Hinder,104,Defect materieel,Machinist meldt dat de trein geen lucht krijgt. Staat stil thv 16.8. Hierdoor overweg 17.9 in storing.,0
11,Gvc,Gv,180,3. Hinder,1159,Defect materieel,1146 def,6
11,Ut,Gd,180,3. Hinder,2060,Spoor of wissels,GN-spoor verzakt,6
4,Gdm,Ehv,632,3. Hinder,3555,Defect materieel,GDM: def mat tr 3555 / Spoorweb-id: 987690,17
14,Vlgr,Vl,788,2. Veel hinder,44787,Vertraging veroorzaakt door andere IM / Terminal,hind buurl Duitsland (Kn) / Spoorweb-id: 991881Duitsland neemt geen treinen aan,0
27,Ot,Btl,1920,2. Veel hinder,-2,Spoor of wissels,tobs,41
10,Odb,Rsd,363,3. Hinder,2348,Spoor of wissels,Overhangende boom 20 cm van bovenleiding af,13
7,Es,Esk,270,3. Hinder,1738,Spoor of wissels,ES: sectie sto Sec-1035T / Spoorweb-id: 988974,2
26,Amr,Nhkbr,319,3. Hinder,3012,Defect materieel,AMR: def mat tr 3012 / Spoorweb-id: 996749,10
29,Sm,Smz,60,3. Hinder,-2,Storing overwegen,RM-SM: ovw sto Ovw-48.7 / Spoorweb-id: 998364SMOVW/2 is defect. Vanuit publieksvoorlichting/MKS doorgekregen dat ovw 48.7 lang dicht ligt.,0
1,Ut,Utln,65,3. Hinder,6735,Spoor of wissels,UT-HTN: sectie sto Sec-2834AT / Spoorweb-id: 986315,2
12,Hwzb,Ass,323,3. Hinder,302335,Defect materieel,vaste rem van de 45711,10
19,Ddv,Mp,99,3. Hinder,300681,STS passage / Bijna Aanrijding,DDV-MP: ass hulpdst / Spoorweb-id: 994083,0
27,Asd,Asd,52,3. Hinder,2673,Herplanning personeel,machinisten 2673 1573 op elkaars trein gestapt,0
24,Hdg,Lwc,48,3. Hinder,37355,STS passage / Bijna Aanrijding,Suicidaal persoon,0
30,Hlm,Spbr,48,3. Hinder,-2,Onregelmatigheden in de uitvoering van BTD,HLM: uitloop wzh / Spoorweb-id: 998575,0
25,Bkl,Aco,96,3. Hinder,4028,Defect materieel,BKLA: def mat tr 4028 / Spoorweb-id: 996267,4
19,Utg,Asd,90,3. Hinder,7429,Defect materieel,UTG: def mat tr 7429 / Spoorweb-id: 993700,3
20,Kfhan,Kfhn,45,3. Hinder,-2,Spoor of wissels,Na passeren sein 2396 (groen) krijgt mcn trip.,0
6,Hmbv,Tgra,502,3. Hinder,4440,STS passage / Bijna Aanrijding,"EHV-HM: hinder pers op sp tr 4440 / Spoorweb-id: 988505persoon bij 47.8, 4440 stil bij 48.34 overwegen inde storing",9
18,Bnk,Db,107,3. Hinder,3067,STS passage / Bijna Aanrijding,persoon op spoor,3
18,Ddr,Ddrs,180,3. Hinder,-2,Energievoorziening (bovenleiding),"Stroomstoring, wissels en seinen onbedienbaar op Ddrs",0
8,Spa,Dvgea,758,2. Veel hinder,-2,Beveiligingsinstallaties,Geheel gedoofd. ,24
2,Ozbm,Hdl,195,3. Hinder,-2,Spoor of wissels,Knik in de baan,6
16,Ws,Rsl,124,3. Hinder,-2,Spoor of wissels,Rijrichting-storing tussen WS en NSCH beide kanten op. Geen OVW op de melder. Rijden alleen mogelijk met EI-1.   ,0
13,Gdm,Wnn,93,3. Hinder,-2,Spoor of wissels,EN spoor. Hobbels in de baan,0
10,Asdzo,Asdz,90,3. Hinder,4369,STS passage / Bijna Aanrijding,"Persoon langs het spoor, daarna op last van politie staken trein verkeer ASDZ",0
25,Dtcp,Dt,104,3. Hinder,1146,(problemen met) Reizigers,DT: reizigers gedrag tr 1146 / Spoorweb-id: 996429,3
12,Apn,Bsk,46,3. Hinder,-2,Storing overwegen,-,1
14,Aml,Wdn,45,3. Hinder,-2,STS passage / Bijna Aanrijding,Sein 94 te Alm voor tr17962 afgevallen zonder duidelijke reden.,0
26,Nmh,Nm,240,3. Hinder,-2,Spoor of wissels,wissel 65 RL niet in de controle ,0
10,Ldm,Mkbr,479,3. Hinder,-2,Invloed van weer op de infra,boom in de bovenleidding ,0
13,Sptz,Sptn,126,3. Hinder,4829,STS passage / Bijna Aanrijding,"Suicudaal persoon op ovw 5.2, mcn 4829 alarmeerde. Bleef stil staan voor ovw 5.2. SPTN: ass hulpdst tr 4829 / Spoorweb-id: 991181",4
20,Lls,Wp,67,3. Hinder,4356,Defect materieel,LLS: def mat rd rang / Spoorweb-id: 994422,3
10,Ods,Dgrw,2668,1. Zeer veel hinder,-2,Spoor of wissels,"ASDM-DVD: def bvl / Spoorweb-id: 990196groepen 2576,2582,2581 spanningsloos en op weco buitendienst",80
20,Zvg,Kfhn,60,3. Hinder,45786,Vertraging veroorzaakt door andere IM / Terminal,GTI,0
17,Ehv,Rtd,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
9,Hlm,Asd,60,3. Hinder,703075,Aanpassing DRGL op verzoek van de vervoerder,,2
15,Ah,Ww,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
14,Vlgr,Vl,60,3. Hinder,20088,Vertraging veroorzaakt door andere IM / Terminal,,0
24,Ah,Nm,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
1,Vk,Mt,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
24,Sgbr,Asd,63,3. Hinder,963,"Overschrijden vertrektijd, rijweg ingesteld",,0
28,Amr,Asd,60,3. Hinder,855,Aanpassing DRGL op verzoek van de vervoerder,,2
14,Ana,Hdr,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
12,Vl,Vlgr,60,3. Hinder,20085,Aanpassing DRGL op verzoek van de vervoerder,,0
22,Dn,Ehv,60,3. Hinder,4430,Aanpassing DRGL op verzoek van de vervoerder,,2
21,Lg,Hrl,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
28,Gv,Gvc,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
16,Gerp,Gn,41,3. Hinder,-1,Aansluiting,,0
23,Hrl,Lg,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,0
18,Ypb,Ypb,60,3. Hinder,89983,Aanpassing DRGL op verzoek van de vervoerder,,3
27,Vlgr,Rsdg,60,3. Hinder,-1,Import vertraging buitenland,,0
11,Std,Mt,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
24,Ass,Gvc,60,3. Hinder,3353,Herplanning (materieel niet of laat beschikbaar),,2
5,Ah,Wf,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
5,Gn,Lw,60,3. Hinder,-1,Afwezigheid personeel,,0
12,Hrl,Hang,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,0
4,Shl,Asdz,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,4
2,Vlgr,Whz,90,3. Hinder,-1,Vertraging veroorzaakt door overnemen trein andere Vervoerder,,0
29,Hgl,Odzg,60,3. Hinder,20373,Aanpassing DRGL op verzoek van de vervoerder,,0
20,Hgl,Odzg,60,3. Hinder,20355,Aanpassing DRGL op verzoek van de vervoerder,,0
27,Vlgr,Vl,240,3. Hinder,20064,Herplanning personeel,,0
14,Ah,Zvg,60,3. Hinder,20053,Aanpassing DRGL op verzoek van de vervoerder,,0
22,Hrl,Mt,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
28,Mrb,Hdb,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,0
3,Bnz,Amf,90,3. Hinder,31462,Aanpassing DRGL op verzoek van de vervoerder,,0
19,Asd,Alm,60,3. Hinder,2663,Herplanning (materieel niet of laat beschikbaar),,2
15,Br,Vlgr,45,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
17,Ehv,Mt,60,3. Hinder,80211,Aanpassing DRGL op verzoek van de vervoerder,,2
27,Rhn,Vndc,60,3. Hinder,7324,Defect materieel,,2
20,Amf,Bnz,60,3. Hinder,31413,Aanpassing DRGL op verzoek van de vervoerder,,0
3,Dvn,Ww,90,3. Hinder,-1,Defect materieel,,0
20,Bnc,Bnz,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,0
26,Amf,Amfs,60,3. Hinder,11769,Aanpassing DRGL op verzoek van de vervoerder,,2
29,Bott,Ps,66,3. Hinder,-1,Defect materieel,,0
30,Wm,Utg,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
18,Hgl,Odzg,60,3. Hinder,20381,Aanpassing DRGL op verzoek van de vervoerder,,0
29,Dtc,Ah,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
26,Amf,Amfs,60,3. Hinder,11765,Aanpassing DRGL op verzoek van de vervoerder,,2
11,Vlgr,Vl,52,3. Hinder,-1,Werkproces rijdend personeel,,0
21,Zvt,Hlm,1500,2. Veel hinder,25476,Aanpassing DRGL op verzoek van de vervoerder,,50
14,Es,Zl,330,3. Hinder,17970,Aanpassing DRGL op verzoek van de vervoerder,,3
28,Ah,Ww,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
9,Amf,Avat,60,3. Hinder,5835,Aanpassing DRGL op verzoek van de vervoerder,,2
26,Nm,Ah,120,3. Hinder,3152,Aanpassing DRGL op verzoek van de vervoerder,,4
27,Almo,Lls,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
24,Erpw,Erp,50,3. Hinder,-1,Herplanning (materieel niet of laat beschikbaar),,0
12,Hvsm,Hvs,49,3. Hinder,-1,Defect materieel,,0
12,Kfhn,Dvgea,75,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
18,Zvt,Hlm,2610,1. Zeer veel hinder,25476,Aanpassing DRGL op verzoek van de vervoerder,,87
18,Ana,Hdr,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
14,Ah,Nm,60,3. Hinder,3061,Aanpassing DRGL op verzoek van de vervoerder,,2
11,Mvtww,Odzg,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
26,Dz,Gn,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
20,Ddr,Grbr,135,3. Hinder,-1,Defect materieel,,3
9,Vlgr,Vl,90,3. Hinder,-1,Werkproces rijdend personeel,,0
20,Wf,Ed,88,3. Hinder,-1,Vertraging trein-trein,,0
8,Vl,Vlgr,60,3. Hinder,20081,Aanpassing DRGL op verzoek van de vervoerder,,0
5,Lls,Alm,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
29,Vlgr,Ps,90,3. Hinder,-1,Vertraging veroorzaakt door overnemen trein andere Vervoerder,,0
25,Zl,Co,60,3. Hinder,-1,Werkproces rijdend personeel,,0
2,Hang,Hrl,120,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
25,Vl,Vlgr,60,3. Hinder,20071,Aanpassing DRGL op verzoek van de vervoerder,,0
6,Vlgr,Vl,90,3. Hinder,20092,Aanpassing DRGL op verzoek van de vervoerder,,0
11,Gd,Apn,60,3. Hinder,8616,Defect materieel,,2
5,Hmla,Wd,225,3. Hinder,2840,Meetfout / Onduidelijk systeemgedrag,,0
17,Hvl,Ama,556,3. Hinder,-1,Defect materieel,,7
25,Gvc,Hnk,90,3. Hinder,3346,Aanpassing DRGL op verzoek van de vervoerder,,3
15,Gvc,Asd,60,3. Hinder,2126,Defect materieel,,1
6,Ddn,Hglg,232,3. Hinder,-1,Defect materieel,,0
14,Tl,Gdm,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
15,Vlgr,Rsdg,45,3. Hinder,-1,Vertraging veroorzaakt door overnemen trein andere Vervoerder,,0
28,Ed,Har,47,3. Hinder,220,Defect materieel,,0
29,Vl,Gkgf,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
20,Zl,Co,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,0
24,Vl,Vlgr,60,3. Hinder,20083,Import vertraging buitenland,,0
27,Avat,Amfs,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
27,Asd,Nm,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
21,Gdm,Tl,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
24,Tbr,Tbu,251,3. Hinder,-1,Defect materieel,,7
30,Mtr,Rm,60,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
28,Zlw,Mdk,60,3. Hinder,-1,Werkproces rijdend personeel,,0
6,Vl,Vl,47,3. Hinder,-1,Gereedmaken trein/ geen wagenlijst,,0
5,Ah,Nm,60,3. Hinder,3067,Aanpassing DRGL op verzoek van de vervoerder,,2
11,Shl,Asdz,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
26,Nm,Vry,90,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
18,Vlgr,Vl,60,3. Hinder,20070,Aanpassing DRGL op verzoek van de vervoerder,,0
7,Ah,Ahp,76,3. Hinder,-1,Vertraging trein-trein,,0
4,Hgl,Es,120,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,0
21,Amf,Amfs,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,2
4,Ps,Kfhn,75,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
26,Mt,Hrl,120,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
14,Zvt,Hlm,1500,2. Veel hinder,25476,Aanpassing DRGL op verzoek van de vervoerder,,50
14,Rv,Rm,60,3. Hinder,-1,Aanpassing DRGL in verband met grote vertraging,,0
22,Kfhn,Rsdg,255,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
11,Vsv,Atn,180,3. Hinder,-1,Defect materieel,,0
16,Ah,Zvg,60,3. Hinder,20025,Aanpassing DRGL op verzoek van de vervoerder,,0
24,Vl,Vlgr,60,3. Hinder,20089,Import vertraging buitenland,,0
29,Gv,Ldd,90,3. Hinder,80232,Aanpassing DRGL op verzoek van de vervoerder,,12
6,Vlgr,Vl,60,3. Hinder,20084,Import vertraging buitenland,,0
12,Whz,Ps,45,3. Hinder,-1,Aanpassing DRGL op verzoek van de vervoerder,,0
26,Btl,Ht,60,3. Hinder,4462,Defect materieel,Mag niet verder dan Btl: opdracht MBM,2
17,Vl,Ehv,60,3. Hinder,3520,Afwezigheid personeel,Uitval B@P Machinistenset / Spoorweb-id: 992771,2
27,Rtst,Rtz,113,3. Hinder,1128,Defect materieel,defecte loc ,3
29,Dbo,Db,47,3. Hinder,7380,Spoor of wissels,"In verband met knik rijden er op het AU spoor geen treinen, zodat er in de nacht een storingsploeg naartoe kan",0
20,Hdb,Mrb,60,3. Hinder,31068,Conflicten/aanpassingen Dienstregeling,opgeheven ivm vertraging 13853,0
29,Dt,Dtcp,71,3. Hinder,-2,Beveiligingsinstallaties,Trein 2237 door voor hem stoptonend sein 6236 En trein 3726 door voor hem stoptonend sein 6204.Daarna treinen laten schouwen en seinen functioneerde normaal.,0
11,Erpw,Erp,77,3. Hinder,-2,Beveiligingsinstallaties,Balisefout km 34.2 PT,0
17,Dv,Dvge,75,3. Hinder,-2,Spoor of wissels,DV: wl sto Wl-123 / Spoorweb-id: 992946,2
13,Bkl,Bkla,102,3. Hinder,4031,Defect materieel,BKLA: def mat tr 4031 / Spoorweb-id: 991229,2
27,Sgra,Sgbr,631,3. Hinder,-2,Spoor of wissels,SGRA: wl sto Wl-483 / Spoorweb-id: 997324,21
12,Dv,Dv,423,3. Hinder,301742,Gebouwen/kunstwerken,Vrachtwagen heeft een viaduct aangereden thv Holten. Daardoor treinverkeer gestaakt tussen Rijssen en Deventer.,12
15,Ashd,Asb,45,3. Hinder,3770,Spoor of wissels,LL geen controle,0
20,Swk,Smvrt,52,3. Hinder,638,Defect materieel,vaste rem,0
24,Tba,Ot,64,3. Hinder,-2,Aanwijzing SB ivm defect spoor,TB-BTL: defect sp Sp-AF / Spoorweb-id: 995715,2
29,Hfdo,Hfd,60,3. Hinder,73364,Herplanning (materieel niet of laat beschikbaar),geen mat,5
27,Asd,Asd,360,3. Hinder,70916,STS passage / Bijna Aanrijding,persoon over meerdere sporen rondom ASDM/Scpark,0
26,Bd,Bda,120,3. Hinder,-2,Spoor of wissels,"BD: defect sp / Spoorweb-id: 996720Knik in de baan tussen wsl 1059B en 1057A, km 23.3 - 23.2Gemeld door mcn van 6613",3
3,Kraga,Bgn,84,3. Hinder,2344,STS passage / Bijna Aanrijding,"MCN 2344 alarmeerde suicidaal persoon om en nabij KM 11.8 rechterzijde (VC-zijde). Reden met  Euopean Instruction 6 km 11.6 t/m 12.0. Vrouw met tijgerprint bovenkant en een spijkbroek. MCN 2344 had haar meegenomen in de cabine. Politie assistentie op station Bergen op Zoom, waarna de 2344 weer kon vertrekken",0
25,Zd,Zdb,672,3. Hinder,-2,STS passage / Bijna Aanrijding,Treinen ontkoppeld i.o.m. SV en melding toegewezen aan AM.,20
10,Tb,Tbu,212,3. Hinder,-2,Spoor of wissels,TB: sectie sto / Spoorweb-id: 990281,0
26,Ed,Amf,60,3. Hinder,31340,Defect materieel,31340 defect,0
26,Zv,Dvn,371,3. Hinder,-2,Spoor of wissels,op verzoek aangepast,0
14,Wp,Vtbr,47,3. Hinder,2641,Defect materieel,WP: def mat tr 2641 / Spoorweb-id: 991765,0
15,Cas,Utg,114,3. Hinder,3035,(problemen met) Reizigers,UTG-AMR: reizigers gedrag tr 3035 / Spoorweb-id: 992180,2
19,Amr,Hlo,796,2. Veel hinder,-2,Energievoorziening (bovenleiding),AMR-UTG: def bvl Ovw-53.6 / Spoorweb-id: 993707,30
20,Shl,Asd,41,3. Hinder,1057,Defect materieel,SHL: def mat tr 1057 / Spoorweb-id: 994535,1
27,Cps,Rta,231,3. Hinder,-2,(problemen met) Reizigers,Vechtpartij in de trein. SW ID 997576,7
6,Lwd,Arn,54,3. Hinder,2222,(problemen met) Reizigers,lastige reiziger ,0
26,Aco,Bkl,198,3. Hinder,-2,Spoor of wissels,tobs uc8,0
23,Hszha,Hstdk,41,3. Hinder,919,Defect materieel,deurstoring,0
29,Hfdm,Hshfdo,97,3. Hinder,928,Beveiligingsinstallaties,leuhfout ,5
29,Ledn,Ass,66,3. Hinder,4677,Energievoorziening (bovenleiding),Defecte Bovenleiding.,4
27,Ck,Bgk,72,3. Hinder,-2,Invloed van derden op infra,CK: ass hulpdst / Spoorweb-id: 997491,0
20,Hfd,Shl,40,3. Hinder,79563,Defect materieel,storing met ATB,0
21,Utg,Cas,150,3. Hinder,80069,STS passage / Bijna Aanrijding,Op verzoek van BO EI6 ivm persoon langs spoor.,5
17,Utma,Ut,86,3. Hinder,853,STS passage / Bijna Aanrijding,Persoon in spoor gemeld door 853 bij utrecht zuilen,0
28,Asd,Ods,353,3. Hinder,-2,STS passage / Bijna Aanrijding,ASD: hinder pers op sp / Spoorweb-id: 998150,0
24,Wd,Hmla,61,3. Hinder,6969,Defect materieel,6969 Stond defect op de vrije baan. Heeft eerst nbm gebeld en pas later de trdl.,0
25,Hwd,Sgn,101,3. Hinder,-2,STS passage / Bijna Aanrijding,SGN-HWD: ass hulpdst tr 3062 / Spoorweb-id: 996629,2
26,Vga,Ht,2270,2. Veel hinder,-2,Spoor of wissels,"Tr. 6623 reed af op sein 302 toen het sein af viel. Tobs in sectie VGA$302B2T, hierdoor wordt de rijweg vastgehouden en is overweg 18.8 in de storing. ",71
